feature,importance
v14,0.3236694
v10,0.14736208
v4,0.039225265
v8,0.026397549
v17,0.023800153
amount_deviation,0.023523167
v12,0.022330098
amount_zscore,0.02046244
amount,0.01964863
v20,0.018586986
v13,0.017846907
v19,0.01699742
v3,0.0164078
v7,0.016278673
v5,0.016141137
v22,0.015562911
max_amount_last_100,0.015506775
v11,0.014442086
v26,0.014014219
amount_change,0.013007334
min_amount_last_100,0.012844476
v28,0.012457593
v15,0.012071275
v16,0.011906245
v21,0.011180773
std_amount_last_100,0.010856166
v24,0.009900392
v25,0.009797603
v1,0.009638545
v9,0.009613527
v6,0.009595576
v23,0.009339178
v18,0.009164424
avg_amount_last_100,0.0090489825
v27,0.0088551575
amount_ratio,0.007836222
amount_percentile,0.007672732
v2,0.007009986
tx_count_last_50,0.0
